iso3,country_name,mean_TXx,temp_group
ISL,Iceland,19.561389817045363,LOW
NOR,Norway,24.89795016063936,LOW
IRL,Ireland,26.605499241284523,LOW
SWE,Sweden,27.98441865307733,LOW
FIN,Finland,28.035916999294997,LOW
GBR,United Kingdom,28.138989422453125,LOW
EST,Estonia,29.18794041469352,LOW
LVA,Latvia,29.671598599803062,LOW
DNK,Denmark,30.563736974564748,LOW
LTU,Lithuania,30.78710787854369,LOW
POL,Poland,32.895977354350954,LOW
NLD,Netherlands,33.09558956535945,LOW
DEU,Germany,33.545070404250836,LOW
BEL,Belgium,33.657574474811554,HIGH
CZE,Czechia,33.759374782284866,HIGH
AUT,Austria,33.946101386204504,HIGH
SVK,Slovakia,34.18447706829043,HIGH
SVN,Slovenia,34.316205392476,HIGH
HUN,Hungary,34.4362131694166,HIGH
FRA,France,34.71537494639422,HIGH
HRV,Croatia,34.77453206299487,HIGH
ITA,Italy,34.97972259068534,HIGH
ROU,Romania,35.05175222115874,HIGH
BGR,Bulgaria,36.30302321339115,HIGH
GRC,Greece,36.74129166936665,HIGH
ESP,Spain,37.5860164259523,HIGH
PRT,Portugal,37.941055106593716,HIGH
