iso3,year,gdp_per_capita,pop_density,sanitation,water
ABW,2000,37524.035,493.17776,97.97311,95.233536
ABW,2001,38729.457,501.77777,98.012505,95.359055
ABW,2002,38098.906,507.7389,98.05191,95.48457
ABW,2003,38086.01,512.91113,98.09132,95.6101
ABW,2004,40000.562,517.9056,98.13072,95.73562
ABW,2005,38828.215,523.55,98.17013,95.86114
ABW,2006,38566.8,530.01666,98.20953,95.98666
ABW,2007,39462.586,536.6889,98.24893,96.112175
ABW,2008,39881.59,543.4167,98.28834,96.23769
ABW,2009,34986.15,550.2222,98.32774,96.36321
ABW,2010,33951.625,556.2611,98.36715,96.48874
ABW,2011,34837.94,561.0833,98.406555,96.61426
ABW,2012,33972.34,565.41113,98.44596,96.73978
ABW,2013,35621.785,569.8333,98.48536,96.73978
ABW,2014,35746.863,574.33887,98.524765,96.73978
ABW,2015,36660.633,578.8889,98.56417,96.73978
ABW,2016,36832.902,583.2722,98.60358,96.73978
ABW,2017,38116.832,587.4278,98.64298,
ABW,2018,39278.83,591.3722,98.68238,
AFG,2000,1617.8264,30.863857,22.298273,29.730967
AFG,2001,1454.1108,31.099924,22.309525,29.762926
AFG,2002,1774.3087,32.77697,23.734709,31.836077
AFG,2003,1815.9282,34.85435,25.160116,33.90863
AFG,2004,1776.9182,36.123234,26.592743,35.999355
AFG,2005,1908.1147,37.41713,28.032917,38.108055
AFG,2006,1929.7239,38.980267,29.473711,40.215763
AFG,2007,2155.353,39.725025,30.875317,42.429497
AFG,2008,2191.5044,40.60321,32.27372,44.653793
AFG,2009,2565.022,42.11107,33.66911,46.888584
AFG,2010,2848.5862,43.365204,35.06167,49.133797
AFG,2011,2757.0525,44.99595,36.451744,51.38967
AFG,2012,2985.319,46.85469,37.839386,53.65581
AFG,2013,3046.5798,48.483986,39.224785,55.932137
AFG,2014,3017.9426,50.277554,40.608135,58.218575
AFG,2015,2967.6921,51.870914,41.98982,60.515347
AFG,2016,2958.7854,53.20303,43.369865,62.82207
AFG,2017,2952.999,54.718338,44.750813,65.142136
AFG,2018,2902.392,56.334484,46.133545,67.47587
AGO,2000,6796.4062,12.990192,33.800407,37.842236
AGO,2001,6848.683,13.433227,34.255856,38.338818
AGO,2002,7523.813,13.898853,34.7113,38.835392
AGO,2003,7518.8896,14.392972,35.756687,40.396515
AGO,2004,8081.757,14.919729,36.80266,41.977238
AGO,2005,8895.377,15.473779,37.84653,43.574345
AGO,2006,9588.822,16.05461,38.733883,45.014
AGO,2007,10437.59,16.666857,39.620567,46.468655
AGO,2008,11134.705,17.30862,40.507355,47.93902
AGO,2009,10933.271,17.979286,41.39269,49.423176
AGO,2010,11077.13,18.685186,42.277718,50.922283
AGO,2011,11037.639,19.42597,43.162064,52.43574
AGO,2012,11519.993,20.195234,44.04532,53.962936
AGO,2013,11626.1875,20.987902,44.927082,55.503227
AGO,2014,11721.664,21.786129,45.80774,57.05691
AGO,2015,11392.906,22.585869,46.683765,58.619633
AGO,2016,10805.712,23.408255,47.55591,60.192062
AGO,2017,10414.236,24.251894,48.423767,61.773514
AGO,2018,10000.944,25.104002,49.286522,63.36279
AIA,2000,,124.4,90.736465,96.16923
AIA,2001,,127.744446,91.195366,96.27023
AIA,2002,,130.15555,91.65427,96.37124
AIA,2003,,132.25555,92.11317,96.472244
AIA,2004,,134.35556,92.57207,96.57324
AIA,2005,,136.55556,93.03097,96.67425
AIA,2006,,138.81111,93.48987,96.77525
AIA,2007,,141.07777,93.94876,96.87625
AIA,2008,,143.45555,94.40766,96.97726
AIA,2009,,145.97778,94.86656,97.07826
AIA,2010,,148.57777,95.32546,97.17927
AIA,2011,,151.03334,95.78436,97.280266
AIA,2012,,148.9,96.24326,97.38127
AIA,2013,,147.46666,96.70216,97.48228
AIA,2014,,152.75555,96.70216,97.48228
AIA,2015,,158.16667,96.70216,97.48228
AIA,2016,,159.37778,96.70216,97.48228
AIA,2017,,160.55556,96.70216,97.48228
AIA,2018,,163.85556,,
ALB,2000,6582.0166,115.55281,89.48867,86.39704
ALB,2001,7232.9907,114.88843,90.03095,86.90407
ALB,2002,7590.49,114.383026,90.605515,87.45164
ALB,2003,8025.2812,113.79901,91.16545,87.98719
ALB,2004,8483.294,113.08985,91.710655,88.51058
ALB,2005,8964.318,112.26847,92.322975,89.02119
ALB,2006,9564.029,111.34325,92.92141,89.519135
ALB,2007,10262.967,110.32434,93.505745,90.00419
ALB,2008,11056.352,109.23113,94.07581,90.47615
ALB,2009,11430.622,108.083466,94.63116,90.93441
ALB,2010,11829.054,106.88799,95.172165,91.37948
ALB,2011,12153.114,106.25909,95.698494,91.81088
ALB,2012,12463.57,106.20449,96.21027,92.22878
ALB,2013,12873.483,106.11573,96.70656,92.63159
ALB,2014,13366.56,105.976204,97.18802,93.02005
ALB,2015,13876.819,105.78956,97.65497,93.394325
ALB,2016,14643.489,105.761604,98.1079,93.754875
ALB,2017,15359.461,105.77537,98.547295,94.1021
ALB,2018,16170.99,105.62879,98.97365,94.43639
AND,2000,54809.145,139.79361,100.0,100.0
AND,2001,59109.016,140.15744,100.0,100.0
AND,2002,61188.637,141.54893,100.0,100.0
AND,2003,63656.195,147.88724,100.0,100.0
AND,2004,64353.484,158.17447,99.99999,99.99999
AND,2005,65114.805,164.75745,100.0,100.0
AND,2006,66390.3,169.38084,100.0,100.0
AND,2007,65534.117,174.25745,100.0,100.0
AND,2008,60691.605,177.68724,100.0,100.0
AND,2009,57203.973,178.52553,100.0,100.0
AND,2010,58285.06,171.75957,100.0,100.0
AND,2011,60470.465,165.53404,100.0,100.0
AND,2012,58172.133,163.52766,100.0,100.0
AND,2013,57332.16,160.04256,100.0,100.0
AND,2014,59929.246,156.92554,100.0,100.0
AND,2015,62105.152,153.60638,100.0,100.0
AND,2016,64402.81,153.61064,100.0,100.0
AND,2017,63239.656,156.97873,100.0,100.0
AND,2018,63048.598,159.95958,100.0,100.0
ANT,2000,,222.77374,,
ANT,2001,,222.425,,
ANT,2002,,223.1425,,
ANT,2003,,224.78625,,
ANT,2004,,227.11874,,
ANT,2005,,229.90875,,
ANT,2006,,233.17625,,
ANT,2007,,236.89375,,
ANT,2008,,240.7625,,
ANT,2009,,244.39874,,
ANT,2010,,247.51125,,
ARE,2000,95390.7,49.191536,99.16086,99.61584
ARE,2001,90750.34,52.430244,99.156876,99.61389
ARE,2002,87479.24,55.71429,99.15295,99.634796
ARE,2003,89828.555,59.032173,99.14909,99.65597
ARE,2004,93166.15,62.36221,99.145294,99.677376
ARE,2005,92750.914,65.68286,99.14157,99.69903
ARE,2006,94872.54,70.53092,99.1379,99.72092
ARE,2007,87180.61,79.197975,99.13433,99.74304
ARE,2008,80285.19,88.74499,99.13087,99.76541
ARE,2009,71488.99,94.43907,99.12749,99.787994
ARE,2010,70913.78,97.69603,99.1242,99.81079
ARE,2011,73190.4,101.37195,99.121,99.8338
ARE,2012,73644.055,105.56353,99.1179,99.85701
ARE,2013,74237.22,110.276695,99.11488,99.88041
ARE,2014,74145.11,115.97972,99.11194,99.90399
ARE,2015,75238.555,122.143524,99.10909,99.92775
ARE,2016,75671.055,127.15958,99.10632,99.951675
ARE,2017,72529.055,130.02435,99.10363,99.97576
ARE,2018,72671.06,131.60898,99.10102,100.0
ARG,2000,22281.38,13.598174,87.66692,96.28403
ARG,2001,21066.459,13.748294,88.13594,96.52282
ARG,2002,18571.701,13.896111,88.6034,96.75547
ARG,2003,20005.139,14.040422,89.069565,96.982414
ARG,2004,21591.45,14.183527,89.535065,97.20434
ARG,2005,23262.408,14.330008,89.99973,97.42119
ARG,2006,24877.25,14.478116,90.46378,97.63321
ARG,2007,26850.664,14.622324,90.92704,97.84036
ARG,2008,27658.484,14.771184,91.38971,98.04288
ARG,2009,25747.197,14.928557,91.85164,98.24074
ARG,2010,28056.258,15.087092,92.312836,98.43405
ARG,2011,29425.76,15.248588,92.77075,98.62186
ARG,2012,28825.967,15.406099,93.22681,98.8053
ARG,2013,29227.66,15.559838,93.62313,98.864204
ARG,2014,28200.814,15.721208,94.021126,98.92325
ARG,2015,28669.207,15.886714,94.42041,98.98231
ARG,2016,27802.105,16.041391,94.82095,99.041374
ARG,2017,28334.904,16.183382,,
ARG,2018,27367.115,16.317112,,
ARM,2000,4589.0083,109.7868,88.0309,95.66867
ARM,2001,5044.1167,108.336845,88.23413,95.8831
ARM,2002,5731.3535,107.32828,88.45717,96.111244
ARM,2003,6569.2603,106.743095,88.68784,96.345116
ARM,2004,7299.4,106.16593,88.91853,96.580536
ARM,2005,8362.9,105.59747,89.1491,96.81747
ARM,2006,9525.231,105.035866,89.37985,97.056015
ARM,2007,10898.849,104.489815,89.610466,97.2961
ARM,2008,11727.482,103.96895,89.84126,97.537796
ARM,2009,10143.235,103.46041,90.07192,97.78104
ARM,2010,10438.564,102.95339,90.3026,98.02586
ARM,2011,10990.177,102.678925,90.53329,98.27229
ARM,2012,11796.274,102.65293,90.764,98.520325
ARM,2013,12194.019,102.652824,90.9987,98.77056
ARM,2014,12667.376,102.64956,91.23747,99.01735
ARM,2015,13112.76,102.605515,91.480576,99.219894
ARM,2016,13192.994,102.52181,91.72791,99.320045
ARM,2017,14243.875,102.38728,91.97959,99.42045
ARM,2018,15037.045,102.21184,92.235855,99.46264
ASM,2000,,284.385,62.293518,95.03448
ASM,2001,,285.36,62.285614,95.26989
ASM,2002,,285.405,62.277714,95.5053
ASM,2003,,284.94,62.269814,95.740715
ASM,2004,,284.205,62.261913,95.97613
ASM,2005,,283.19,62.254013,96.21154
ASM,2006,,281.955,62.246113,96.446945
ASM,2007,,280.67,62.23821,96.68236
ASM,2008,,279.24,62.23031,96.91777
ASM,2009,,277.71,62.22241,97.15318
ASM,2010,,276.23,62.214508,97.388596
ASM,2011,,274.585,62.206608,97.62401
ASM,2012,,272.53,62.198708,97.85942
ASM,2013,,270.13,62.190807,98.09483
ASM,2014,,267.445,62.182903,98.330246
ASM,2015,,264.48,62.175003,98.56566
ASM,2016,,261.3,62.167103,98.80107
ASM,2017,,258.025,62.159203,99.03648
ASM,2018,,254.635,62.151302,99.2719
ATG,2000,25547.611,170.29318,84.76534,97.45779
ATG,2001,24014.775,172.91364,85.53443,97.52484
ATG,2002,23958.164,175.11136,86.31252,97.589325
ATG,2003,25136.002,177.03636,87.08915,97.654976
ATG,2004,26303.617,178.9409,87.86436,97.72178
ATG,2005,27692.635,180.97273,88.63813,97.7897
ATG,2006,30827.342,183.225,89.41053,97.85875
ATG,2007,33245.27,185.71819,90.18153,97.92888
ATG,2008,32756.307,188.46819,90.95121,98.000084
ATG,2009,28405.69,191.34773,91.719475,98.07236
ATG,2010,25826.61,193.94772,92.48645,98.14566
ATG,2011,25023.918,196.25,93.251015,98.22017
ATG,2012,25592.906,198.35228,94.00426,98.297104
ATG,2013,25206.846,200.16818,94.75713,98.37434
ATG,2014,25557.525,201.78181,95.50967,98.45187
ATG,2015,25734.152,203.22954,96.26188,98.52969
ATG,2016,26627.715,204.5,97.013245,98.60784
ATG,2017,27199.195,205.64319,97.76381,98.68624
ATG,2018,28878.607,206.68637,98.51369,98.764854
AUS,2000,45099.074,2.4873145,99.99116,99.712296
AUS,2001,45428.2,2.5176013,99.991615,99.71124
AUS,2002,46688.395,2.5474916,99.99207,99.71219
AUS,2003,47581.23,2.5766249,99.99253,99.73436
AUS,2004,49061.277,2.606166,99.99299,99.75634
AUS,2005,49997.066,2.6383824,99.99344,99.778145
AUS,2006,50693.727,2.6768737,99.9939,99.799774
AUS,2007,51663.242,2.7241929,99.994354,99.82125
AUS,2008,52473.383,2.7782812,99.99481,99.84255
AUS,2009,52407.91,2.8318977,99.99527,99.86368
AUS,2010,52739.27,2.8785136,99.99572,99.88314
AUS,2011,53257.047,2.9224806,99.99618,99.89197
AUS,2012,54403.883,2.9709554,99.996635,99.90077
AUS,2013,54895.004,3.0208282,99.99709,99.909584
AUS,2014,55489.07,3.0675426,99.99755,99.96148
AUS,2015,55879.996,3.113356,99.998,99.97001
AUS,2016,56529.953,3.1630135,99.99846,99.96997
AUS,2017,56881.855,3.215156,99.99892,99.96993
AUS,2018,57647.844,3.2656832,99.999374,99.969894
AUT,2000,53534.344,97.102875,99.99998,100.0
AUT,2001,54032.152,97.457985,99.99999,100.0
AUT,2002,54565.08,97.93553,100.0,100.0
AUT,2003,54919.79,98.431946,99.99838,100.0
AUT,2004,55980.23,99.04867,99.99654,100.0
AUT,2005,56890.28,99.723755,99.994705,100.0
AUT,2006,58460.24,100.21693,99.9929,100.0
AUT,2007,60470.91,100.54469,99.991104,100.0
AUT,2008,61157.99,100.86343,99.98933,100.0
AUT,2009,58810.44,101.127884,99.98757,100.0
