iso3,country_name,year,pathogen,antibiotic,resistance_rate
AUT,Austria,2000,Staphylococcus aureus,Meticillin (MRSA),17.80104712
AUT,Austria,2001,Enterococcus faecium,Aminopenicillins,85.71428571
AUT,Austria,2001,Escherichia coli,Carbapenems,0.0
AUT,Austria,2001,Escherichia coli,Fluoroquinolones,7.03517587
AUT,Austria,2001,Escherichia coli,Third-generation cephalosporins,0.0
AUT,Austria,2001,Staphylococcus aureus,Meticillin (MRSA),7.55395683
AUT,Austria,2002,Enterococcus faecium,Aminopenicillins,84.44444444
AUT,Austria,2002,Escherichia coli,Carbapenems,0.0
AUT,Austria,2002,Escherichia coli,Fluoroquinolones,10.16949152
AUT,Austria,2002,Escherichia coli,Third-generation cephalosporins,1.25786163
AUT,Austria,2002,Staphylococcus aureus,Meticillin (MRSA),12.08791208
AUT,Austria,2003,Enterococcus faecium,Aminopenicillins,84.61538461
AUT,Austria,2003,Escherichia coli,Carbapenems,0.15082956
AUT,Austria,2003,Escherichia coli,Fluoroquinolones,14.12487205
AUT,Austria,2003,Escherichia coli,Third-generation cephalosporins,1.84237461
AUT,Austria,2003,Staphylococcus aureus,Meticillin (MRSA),15.38461538
AUT,Austria,2004,Enterococcus faecium,Aminopenicillins,84.84848484
AUT,Austria,2004,Escherichia coli,Carbapenems,0.23809523
AUT,Austria,2004,Escherichia coli,Fluoroquinolones,16.72060409
AUT,Austria,2004,Escherichia coli,Third-generation cephalosporins,2.53232758
AUT,Austria,2004,Staphylococcus aureus,Meticillin (MRSA),14.36619718
AUT,Austria,2005,Enterococcus faecium,Aminopenicillins,84.48275862
AUT,Austria,2005,Escherichia coli,Carbapenems,0.2108222
AUT,Austria,2005,Escherichia coli,Fluoroquinolones,19.37530502
AUT,Austria,2005,Escherichia coli,Third-generation cephalosporins,4.20332355
AUT,Austria,2005,Klebsiella pneumoniae,Carbapenems,0.0
AUT,Austria,2005,Klebsiella pneumoniae,Fluoroquinolones,11.36363636
AUT,Austria,2005,Klebsiella pneumoniae,Third-generation cephalosporins,5.68181818
AUT,Austria,2005,Pseudomonas aeruginosa,Carbapenems,10.38961038
AUT,Austria,2005,Staphylococcus aureus,Meticillin (MRSA),13.6548913
AUT,Austria,2006,Enterococcus faecium,Aminopenicillins,88.8429752
AUT,Austria,2006,Escherichia coli,Carbapenems,0.28392958
AUT,Austria,2006,Escherichia coli,Fluoroquinolones,22.08688591
AUT,Austria,2006,Escherichia coli,Third-generation cephalosporins,6.59651962
AUT,Austria,2006,Klebsiella pneumoniae,Carbapenems,0.0
AUT,Austria,2006,Klebsiella pneumoniae,Fluoroquinolones,8.10185185
AUT,Austria,2006,Klebsiella pneumoniae,Third-generation cephalosporins,6.03248259
AUT,Austria,2006,Pseudomonas aeruginosa,Carbapenems,14.86146095
AUT,Austria,2006,Staphylococcus aureus,Meticillin (MRSA),9.65180207
AUT,Austria,2007,Enterococcus faecium,Aminopenicillins,81.98529411
AUT,Austria,2007,Escherichia coli,Carbapenems,0.19389238
AUT,Austria,2007,Escherichia coli,Fluoroquinolones,25.68154879
AUT,Austria,2007,Escherichia coli,Third-generation cephalosporins,8.87128712
AUT,Austria,2007,Klebsiella pneumoniae,Carbapenems,0.0
AUT,Austria,2007,Klebsiella pneumoniae,Fluoroquinolones,12.58426966
AUT,Austria,2007,Klebsiella pneumoniae,Third-generation cephalosporins,8.18181818
AUT,Austria,2007,Pseudomonas aeruginosa,Carbapenems,11.51960784
AUT,Austria,2007,Staphylococcus aureus,Meticillin (MRSA),12.70791749
AUT,Austria,2008,Enterococcus faecium,Aminopenicillins,90.77380952
AUT,Austria,2008,Escherichia coli,Carbapenems,0.166044
AUT,Austria,2008,Escherichia coli,Fluoroquinolones,22.92436974
AUT,Austria,2008,Escherichia coli,Third-generation cephalosporins,7.41239892
AUT,Austria,2008,Klebsiella pneumoniae,Carbapenems,0.0
AUT,Austria,2008,Klebsiella pneumoniae,Fluoroquinolones,11.70395869
AUT,Austria,2008,Klebsiella pneumoniae,Third-generation cephalosporins,7.94473229
AUT,Austria,2008,Pseudomonas aeruginosa,Carbapenems,10.84812623
AUT,Austria,2008,Staphylococcus aureus,Meticillin (MRSA),8.71172122
AUT,Austria,2009,Enterococcus faecium,Aminopenicillins,87.94788273
AUT,Austria,2009,Escherichia coli,Carbapenems,0.14251781
AUT,Austria,2009,Escherichia coli,Fluoroquinolones,20.48929663
AUT,Austria,2009,Escherichia coli,Third-generation cephalosporins,7.54716981
AUT,Austria,2009,Klebsiella pneumoniae,Carbapenems,0.0
AUT,Austria,2009,Klebsiella pneumoniae,Fluoroquinolones,8.4437086
AUT,Austria,2009,Klebsiella pneumoniae,Third-generation cephalosporins,7.64227642
AUT,Austria,2009,Pseudomonas aeruginosa,Carbapenems,8.77192982
AUT,Austria,2009,Staphylococcus aureus,Meticillin (MRSA),6.21046578
AUT,Austria,2010,Enterococcus faecium,Aminopenicillins,92.37288135
AUT,Austria,2010,Escherichia coli,Carbapenems,0.04056795
AUT,Austria,2010,Escherichia coli,Fluoroquinolones,20.88888888
AUT,Austria,2010,Escherichia coli,Third-generation cephalosporins,7.25530458
AUT,Austria,2010,Klebsiella pneumoniae,Carbapenems,0.58939096
AUT,Austria,2010,Klebsiella pneumoniae,Fluoroquinolones,18.19444444
AUT,Austria,2010,Klebsiella pneumoniae,Third-generation cephalosporins,12.63888888
AUT,Austria,2010,Pseudomonas aeruginosa,Carbapenems,14.37632135
