"HealthTopic","Population","Indicator","Unit","Time","RegionCode","RegionName","NumValue","TxtValue"
"Antimicrobial resistance","Acinetobacter spp.|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2012","BG","Bulgaria",2.000000000,""
"Antimicrobial resistance","Acinetobacter spp.|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2012","CY","Cyprus",2.000000000,""
"Antimicrobial resistance","Acinetobacter spp.|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2012","DE","Germany",1.000000000,""
"Antimicrobial resistance","Acinetobacter spp.|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2012","DK","Denmark",1.000000000,""
"Antimicrobial resistance","Acinetobacter spp.|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2012","EL","Greece",22.000000000,""
"Antimicrobial resistance","Acinetobacter spp.|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2012","FR","France",7.000000000,""
"Antimicrobial resistance","Acinetobacter spp.|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2012","HU","Hungary",33.000000000,""
"Antimicrobial resistance","Acinetobacter spp.|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2012","IS","Iceland",2.000000000,""
"Antimicrobial resistance","Acinetobacter spp.|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2012","IT","Italy",7.000000000,""
"Antimicrobial resistance","Acinetobacter spp.|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2012","LU","Luxembourg",1.000000000,""
"Antimicrobial resistance","Acinetobacter spp.|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2012","MT","Malta",0.000000000,""
"Antimicrobial resistance","Acinetobacter spp.|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2012","NL","Netherlands",2.000000000,""
"Antimicrobial resistance","Acinetobacter spp.|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2012","NO","Norway",0.000000000,""
"Antimicrobial resistance","Acinetobacter spp.|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2012","PL","Poland",12.000000000,""
"Antimicrobial resistance","Acinetobacter spp.|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2012","PT","Portugal",1.000000000,""
"Antimicrobial resistance","Acinetobacter spp.|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2012","RO","Romania",0.000000000,""
"Antimicrobial resistance","Acinetobacter spp.|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2012","SI","Slovenia",0.000000000,""
"Antimicrobial resistance","Acinetobacter spp.|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2012","UK","United Kingdom",0.000000000,""
"Antimicrobial resistance","Acinetobacter spp.|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2013","AT","Austria",3.000000000,""
"Antimicrobial resistance","Acinetobacter spp.|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2013","BE","Belgium",0.000000000,""
"Antimicrobial resistance","Acinetobacter spp.|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2013","BG","Bulgaria",2.000000000,""
"Antimicrobial resistance","Acinetobacter spp.|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2013","CY","Cyprus",0.000000000,""
"Antimicrobial resistance","Acinetobacter spp.|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2013","CZ","Czechia",2.000000000,""
"Antimicrobial resistance","Acinetobacter spp.|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2013","DE","Germany",0.000000000,""
"Antimicrobial resistance","Acinetobacter spp.|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2013","DK","Denmark",2.000000000,""
"Antimicrobial resistance","Acinetobacter spp.|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2013","EL","Greece",10.000000000,""
"Antimicrobial resistance","Acinetobacter spp.|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2013","ES","Spain",1.000000000,""
"Antimicrobial resistance","Acinetobacter spp.|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2013","FI","Finland",0.000000000,""
"Antimicrobial resistance","Acinetobacter spp.|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2013","FR","France",3.000000000,""
"Antimicrobial resistance","Acinetobacter spp.|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2013","HR","Croatia",4.000000000,""
"Antimicrobial resistance","Acinetobacter spp.|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2013","HU","Hungary",21.000000000,""
"Antimicrobial resistance","Acinetobacter spp.|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2013","IE","Ireland",1.000000000,""
"Antimicrobial resistance","Acinetobacter spp.|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2013","IT","Italy",10.000000000,""
"Antimicrobial resistance","Acinetobacter spp.|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2013","LU","Luxembourg",0.000000000,""
"Antimicrobial resistance","Acinetobacter spp.|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2013","MT","Malta",1.000000000,""
"Antimicrobial resistance","Acinetobacter spp.|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2013","NL","Netherlands",0.000000000,""
"Antimicrobial resistance","Acinetobacter spp.|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2013","NO","Norway",1.000000000,""
"Antimicrobial resistance","Acinetobacter spp.|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2013","PL","Poland",7.000000000,""
"Antimicrobial resistance","Acinetobacter spp.|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2013","PT","Portugal",0.000000000,""
"Antimicrobial resistance","Acinetobacter spp.|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2013","RO","Romania",1.000000000,""
"Antimicrobial resistance","Acinetobacter spp.|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2013","SE","Sweden",0.000000000,""
"Antimicrobial resistance","Acinetobacter spp.|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2013","SI","Slovenia",0.000000000,""
"Antimicrobial resistance","Acinetobacter spp.|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2013","SK","Slovakia",18.000000000,""
"Antimicrobial resistance","Acinetobacter spp.|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2013","UK","United Kingdom",0.000000000,""
"Antimicrobial resistance","Acinetobacter spp.|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2014","AT","Austria",1.000000000,""
"Antimicrobial resistance","Acinetobacter spp.|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2014","BE","Belgium",0.000000000,""
"Antimicrobial resistance","Acinetobacter spp.|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2014","BG","Bulgaria",3.000000000,""
"Antimicrobial resistance","Acinetobacter spp.|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2014","CY","Cyprus",0.000000000,""
"Antimicrobial resistance","Acinetobacter spp.|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2014","CZ","Czechia",1.000000000,""
"Antimicrobial resistance","Acinetobacter spp.|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2014","DE","Germany",3.000000000,""
"Antimicrobial resistance","Acinetobacter spp.|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2014","DK","Denmark",1.000000000,""
"Antimicrobial resistance","Acinetobacter spp.|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2014","EL","Greece",10.000000000,""
