"HealthTopic","Population","Indicator","Unit","Time","RegionCode","RegionName","NumValue","TxtValue"
"Antimicrobial resistance","Escherichia coli|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2000","EL","Greece",4.000000000,""
"Antimicrobial resistance","Escherichia coli|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2000","NL","Netherlands",1.000000000,""
"Antimicrobial resistance","Escherichia coli|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2000","NO","Norway",0.000000000,""
"Antimicrobial resistance","Escherichia coli|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2001","AT","Austria",0.000000000,""
"Antimicrobial resistance","Escherichia coli|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2001","BG","Bulgaria",0.000000000,""
"Antimicrobial resistance","Escherichia coli|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2001","CZ","Czechia",0.000000000,""
"Antimicrobial resistance","Escherichia coli|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2001","DE","Germany",0.000000000,""
"Antimicrobial resistance","Escherichia coli|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2001","EE","Estonia",0.000000000,""
"Antimicrobial resistance","Escherichia coli|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2001","EL","Greece",1.000000000,""
"Antimicrobial resistance","Escherichia coli|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2001","ES","Spain",1.000000000,""
"Antimicrobial resistance","Escherichia coli|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2001","FI","Finland",0.000000000,""
"Antimicrobial resistance","Escherichia coli|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2001","HR","Croatia",1.000000000,""
"Antimicrobial resistance","Escherichia coli|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2001","HU","Hungary",0.000000000,""
"Antimicrobial resistance","Escherichia coli|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2001","IS","Iceland",0.000000000,""
"Antimicrobial resistance","Escherichia coli|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2001","LU","Luxembourg",0.000000000,""
"Antimicrobial resistance","Escherichia coli|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2001","MT","Malta",0.000000000,""
"Antimicrobial resistance","Escherichia coli|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2001","NL","Netherlands",0.000000000,""
"Antimicrobial resistance","Escherichia coli|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2001","NO","Norway",0.000000000,""
"Antimicrobial resistance","Escherichia coli|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2001","PL","Poland",0.000000000,""
"Antimicrobial resistance","Escherichia coli|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2002","AT","Austria",0.000000000,""
"Antimicrobial resistance","Escherichia coli|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2002","BG","Bulgaria",0.000000000,""
"Antimicrobial resistance","Escherichia coli|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2002","DE","Germany",0.000000000,""
"Antimicrobial resistance","Escherichia coli|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2002","EE","Estonia",0.000000000,""
"Antimicrobial resistance","Escherichia coli|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2002","EL","Greece",1.000000000,""
"Antimicrobial resistance","Escherichia coli|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2002","ES","Spain",0.000000000,""
"Antimicrobial resistance","Escherichia coli|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2002","FI","Finland",1.000000000,""
"Antimicrobial resistance","Escherichia coli|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2002","FR","France",1.000000000,""
"Antimicrobial resistance","Escherichia coli|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2002","HR","Croatia",0.000000000,""
"Antimicrobial resistance","Escherichia coli|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2002","HU","Hungary",0.000000000,""
"Antimicrobial resistance","Escherichia coli|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2002","IE","Ireland",0.000000000,""
"Antimicrobial resistance","Escherichia coli|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2002","IS","Iceland",0.000000000,""
"Antimicrobial resistance","Escherichia coli|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2002","LU","Luxembourg",0.000000000,""
"Antimicrobial resistance","Escherichia coli|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2002","MT","Malta",0.000000000,""
"Antimicrobial resistance","Escherichia coli|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2002","NL","Netherlands",1.000000000,""
"Antimicrobial resistance","Escherichia coli|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2002","NO","Norway",0.000000000,""
"Antimicrobial resistance","Escherichia coli|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2002","PL","Poland",0.000000000,""
"Antimicrobial resistance","Escherichia coli|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2002","RO","Romania",0.000000000,""
