"HealthTopic","Population","Indicator","Unit","Time","RegionCode","RegionName","NumValue","TxtValue"
"Antimicrobial resistance","Pseudomonas aeruginosa|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2005","AT","Austria",2.000000000,""
"Antimicrobial resistance","Pseudomonas aeruginosa|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2005","BG","Bulgaria",0.000000000,""
"Antimicrobial resistance","Pseudomonas aeruginosa|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2005","CY","Cyprus",0.000000000,""
"Antimicrobial resistance","Pseudomonas aeruginosa|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2005","CZ","Czechia",0.000000000,""
"Antimicrobial resistance","Pseudomonas aeruginosa|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2005","DE","Germany",6.000000000,""
"Antimicrobial resistance","Pseudomonas aeruginosa|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2005","EE","Estonia",0.000000000,""
"Antimicrobial resistance","Pseudomonas aeruginosa|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2005","EL","Greece",39.000000000,""
"Antimicrobial resistance","Pseudomonas aeruginosa|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2005","ES","Spain",1.000000000,""
"Antimicrobial resistance","Pseudomonas aeruginosa|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2005","FI","Finland",0.000000000,""
"Antimicrobial resistance","Pseudomonas aeruginosa|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2005","FR","France",64.000000000,""
"Antimicrobial resistance","Pseudomonas aeruginosa|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2005","HR","Croatia",2.000000000,""
"Antimicrobial resistance","Pseudomonas aeruginosa|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2005","HU","Hungary",22.000000000,""
"Antimicrobial resistance","Pseudomonas aeruginosa|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2005","IE","Ireland",0.000000000,""
"Antimicrobial resistance","Pseudomonas aeruginosa|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2005","IS","Iceland",0.000000000,""
"Antimicrobial resistance","Pseudomonas aeruginosa|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2005","LU","Luxembourg",0.000000000,""
"Antimicrobial resistance","Pseudomonas aeruginosa|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2005","MT","Malta",1.000000000,""
"Antimicrobial resistance","Pseudomonas aeruginosa|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2005","NL","Netherlands",3.000000000,""
"Antimicrobial resistance","Pseudomonas aeruginosa|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2005","NO","Norway",9.000000000,""
"Antimicrobial resistance","Pseudomonas aeruginosa|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2005","PL","Poland",0.000000000,""
"Antimicrobial resistance","Pseudomonas aeruginosa|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2005","RO","Romania",0.000000000,""
"Antimicrobial resistance","Pseudomonas aeruginosa|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2005","SE","Sweden",1.000000000,""
"Antimicrobial resistance","Pseudomonas aeruginosa|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2005","SI","Slovenia",1.000000000,""
"Antimicrobial resistance","Pseudomonas aeruginosa|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2005","UK","United Kingdom",0.000000000,""
"Antimicrobial resistance","Pseudomonas aeruginosa|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2006","AT","Austria",12.000000000,""
"Antimicrobial resistance","Pseudomonas aeruginosa|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2006","BG","Bulgaria",2.000000000,""
"Antimicrobial resistance","Pseudomonas aeruginosa|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2006","CY","Cyprus",2.000000000,""
"Antimicrobial resistance","Pseudomonas aeruginosa|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2006","CZ","Czechia",0.000000000,""
"Antimicrobial resistance","Pseudomonas aeruginosa|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2006","DE","Germany",17.000000000,""
"Antimicrobial resistance","Pseudomonas aeruginosa|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2006","EE","Estonia",3.000000000,""
"Antimicrobial resistance","Pseudomonas aeruginosa|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2006","EL","Greece",49.000000000,""
"Antimicrobial resistance","Pseudomonas aeruginosa|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2006","ES","Spain",11.000000000,""
"Antimicrobial resistance","Pseudomonas aeruginosa|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2006","FI","Finland",2.000000000,""
"Antimicrobial resistance","Pseudomonas aeruginosa|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2006","FR","France",40.000000000,""
"Antimicrobial resistance","Pseudomonas aeruginosa|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2006","HR","Croatia",1.000000000,""
"Antimicrobial resistance","Pseudomonas aeruginosa|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2006","HU","Hungary",16.000000000,""
"Antimicrobial resistance","Pseudomonas aeruginosa|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2006","IE","Ireland",3.000000000,""
