iso3,temp_group,community,degree,betweenness,participation_coeff,node_role
CZE,HIGH,1,0.0769230769230769,0.5076923076923077,0.5,Kinless
POL,LOW,2,0.2307692307692307,0.5323076923076923,0.5,Connector hub
HUN,HIGH,3,0.3076923076923077,0.3138461538461538,0.5,Connector hub
SVK,HIGH,1,0.0769230769230769,0.5169230769230769,0.5,Kinless
PRT,HIGH,3,0.1153846153846153,0.0092307692307692,0.444444,Kinless
FRA,HIGH,0,0.1538461538461538,0.4923076923076923,0.375,Kinless
LTU,LOW,2,0.1923076923076923,0.0,0.32,Connector hub
ITA,HIGH,2,0.2307692307692307,0.0461538461538461,0.277778,Connector hub
LVA,LOW,2,0.2307692307692307,0.0,0.277778,Connector hub
BGR,HIGH,2,0.2307692307692307,0.0492307692307692,0.277778,Connector hub
BEL,HIGH,0,0.1923076923076923,0.0,0.0,Connector hub
GBR,LOW,0,0.1923076923076923,0.0061538461538461,0.0,Connector hub
FIN,LOW,0,0.2307692307692307,0.0,0.0,Connector hub
EST,LOW,3,0.1153846153846153,0.0769230769230769,0.0,Kinless
ESP,HIGH,3,0.0769230769230769,0.0,0.0,Kinless
DEU,LOW,0,0.3846153846153846,0.3415384615384615,0.0,Connector hub
DNK,LOW,0,0.2307692307692307,0.0,0.0,Connector hub
AUT,HIGH,0,0.3461538461538461,0.0,0.0,Connector hub
IRL,LOW,0,0.1923076923076923,0.0523076923076923,0.0,Connector hub
ISL,LOW,3,0.0384615384615384,0.0,0.0,Kinless
GRC,HIGH,2,0.0769230769230769,0.0,0.0,Kinless
HRV,HIGH,2,0.1923076923076923,0.1292307692307692,0.0,Connector hub
NOR,LOW,0,0.2307692307692307,0.0,0.0,Connector hub
NLD,LOW,0,0.2692307692307693,0.0092307692307692,0.0,Connector hub
ROU,HIGH,2,0.1538461538461538,0.0492307692307692,0.0,Kinless
SVN,HIGH,3,0.0769230769230769,0.0,0.0,Kinless
SWE,LOW,0,0.2307692307692307,0.0,0.0,Connector hub
