iso3,country_name,temp_group,mean_TXx,mean_resistance,predicted_resistance,residual,degree,betweenness,closeness,eigenvector
ROU,Romania,HIGH,35.05175222115874,46.90077346693646,29.67726677806691,17.223506688869545,0.1538461538461538,0.0492307692307692,0.253930278045804,7.856682242210354e-05
GRC,Greece,HIGH,36.74129166936665,48.754444592736846,32.3188657788607,16.43557881387615,0.0769230769230769,0.0,0.2117488983050057,2.898234632724983e-05
LVA,Latvia,LOW,29.671598599803065,32.50885444951454,21.265383619396015,11.243470830118522,0.2307692307692307,0.0,0.3076246505601449,0.0002220450077248
SVK,Slovakia,HIGH,34.18447706829043,38.71937371765705,28.3212799855358,10.39809373212125,0.0769230769230769,0.5169230769230769,0.3482736529700688,0.0027842791252508
ISL,Iceland,LOW,19.561389817045363,15.150333207174452,5.4580478115949695,9.692285395579482,0.0384615384615384,0.0,0.2029568955603755,5.553370636152581e-06
LTU,Lithuania,LOW,30.78710787854369,32.43014053608205,23.009485066226997,9.420655469855053,0.1923076923076923,0.0,0.3010410593188267,0.0002064663290876
ITA,Italy,HIGH,34.97972259068534,38.23012360012004,29.564648277156554,8.665475322963484,0.2307692307692307,0.0461538461538461,0.2609105037164345,0.0001144238086114
POL,Poland,LOW,32.895977354350954,33.73613775934352,26.306707576187275,7.429430183156246,0.2307692307692307,0.5323076923076923,0.3528505874289261,0.0005623647738775
BGR,Bulgaria,HIGH,36.30302321339115,39.0093568840606,31.633631991267084,7.375724892793517,0.2307692307692307,0.0492307692307692,0.3079539545695025,0.0002081051674118
HRV,Croatia,HIGH,34.77453206299487,34.89837778038266,29.24383239239315,5.654545387989511,0.1923076923076923,0.1292307692307692,0.292078610453603,0.0001762162090626
IRL,Ireland,LOW,26.605499241284523,18.545247094124726,16.471529879912115,2.0737172142126106,0.1923076923076923,0.0523076923076923,0.2708988031820597,0.2047060524138696
HUN,Hungary,HIGH,34.4362131694166,30.56974693825298,28.714869986588436,1.8548769516645436,0.3076923076923077,0.3138461538461538,0.3150556975862349,0.0002046752967417
EST,Estonia,LOW,29.18794041469352,19.81513844273489,20.50918288086559,-0.6940444381306996,0.1153846153846153,0.0769230769230769,0.2504027943439901,3.6943387515124605e-05
CZE,Czechia,HIGH,33.759374782284866,25.83516049978103,27.65663153643415,-1.8214710366531222,0.0769230769230769,0.5076923076923077,0.3352471848706888,0.0184234228159279
GBR,United Kingdom,LOW,28.138989422453125,16.497573582256795,18.869145475451365,-2.37157189319457,0.1923076923076923,0.0061538461538461,0.2326450854913274,0.2324709062684621
PRT,Portugal,HIGH,37.94105510659372,31.53180735796793,34.19469880562406,-2.6628914476561256,0.1153846153846153,0.0092307692307692,0.259698634211171,5.370660942635521e-05
NOR,Norway,LOW,24.89795016063936,9.807683305373017,13.801772775381021,-3.9940894700080047,0.2307692307692307,0.0,0.2350248387084766,0.3158581720024488
SVN,Slovenia,HIGH,34.316205392476,22.89349052145742,28.52723753800014,-5.633747016542721,0.0769230769230769,0.0,0.2472823411951677,3.658414245948404e-05
SWE,Sweden,LOW,27.98441865307733,11.356044430985282,18.627473704858428,-7.271429273873146,0.2307692307692307,0.0,0.2349308292256681,0.3160341988293208
FIN,Finland,LOW,28.035916999295,11.192615188456974,18.70799149333352,-7.515376304876545,0.2307692307692307,0.0,0.2350573366483774,0.3154789082240087
ESP,Spain,HIGH,37.5860164259523,25.54314925836967,33.639594972434296,-8.096445714064625,0.0769230769230769,0.0,0.2507471875041562,3.838736157592609e-05
DNK,Denmark,LOW,30.563736974564748,13.577958887739154,22.660244119303233,-9.082285231564079,0.2307692307692307,0.0,0.2349037207752671,0.3158747386026099
DEU,Germany,LOW,33.54507040425084,17.760652509007105,27.32156612468489,-9.560913615677784,0.3846153846153846,0.3415384615384615,0.2854130232364653,0.412143444329486
BEL,Belgium,HIGH,33.657574474811554,17.128104040002338,27.49746651025661,-10.369362470254273,0.1923076923076923,0.0,0.2698108641638836,0.2046310254960132
AUT,Austria,HIGH,33.946101386204504,16.717520258543857,27.94857903186489,-11.231058773321035,0.3461538461538461,0.0,0.241367544732084,0.3979119610467036
FRA,France,HIGH,34.71537494639422,17.478878053987394,29.151340097958784,-11.67246204397139,0.1538461538461538,0.4923076923076923,0.3156346718059098,0.1232683636797527
NLD,Netherlands,LOW,33.09558956535945,11.128589595956976,26.618801749368952,-15.490212153411976,0.2692307692307693,0.0092307692307692,0.2369562244329816,0.3456762911885593
